state,poverty_headcount_pct,poverty_gap_pct,poverty_severity_pct,mics_moderate_pct
Urban,18.037302673015947,4.466606448327968,1.6807992134308767,
Rural,52.100323063507815,17.42135527210744,7.782296379810743,
Abia,30.671992533472363,7.146064219732747,2.588441259198778,17.11
Adamawa,75.41022938640675,27.639538672581853,13.205705663596287,52.64
Akwa Ibom,26.820296416448198,7.247394113792542,2.7391458003122393,32.85
Anambra,14.783663409351815,3.2357852147713544,1.064322388793511,23.56
Bauchi,61.53321290779331,20.49682914227473,9.067701884634971,59.29
Bayelsa,22.61073572847094,5.25463410084856,1.8915945500579618,51.28
Benue,32.89804123467669,8.43449777083149,3.05036236562984,62.24
Cross River,36.29389139811104,9.661144730620567,3.5985766580051433,53.78
Delta,6.024003143903222,0.9447527201425885,0.20593927794554048,31.23
Ebonyi,79.76252620355886,34.08843028348036,17.05087258774538,23.2
Edo,11.988328970990352,2.9019309504334365,1.0103596824310799,22.83
Ekiti,28.043164787108193,6.15729069503064,2.0046568026953855,35.65
Enugu,58.12751642632976,15.99838442874201,6.342685751194496,30.6
Gombe,62.306519693647964,20.02742990284658,8.973958806825644,61.23
Imo,28.861296682975034,6.89407832315378,2.35477416979529,21.86
Jigawa,87.02114837949469,38.730163025429874,20.527219160403593,73.06
Kaduna,43.477872610691925,15.514471391551051,6.735739915928414,25.76
Kano,55.08408545233222,15.242593664923168,5.684125376691949,50.05
Katsina,56.41615047230548,16.18333389850135,6.503949857517669,60.96
Kebbi,50.165965110848546,15.14316022759877,6.186451576294003,70.08
Kogi,28.506718338930614,6.18972822565838,2.013857153562971,37.23
Kwara,20.352456863349687,4.451596677976907,1.4969750784484295,38.36
Lagos,4.503237163613083,0.6656007757859089,0.1811312669777157,21.75
Nasarawa,57.29964879289593,16.86881593645281,6.617714635834476,47.82
Niger,66.11110308235641,21.67888974588,9.117433149968413,52.42
Ogun,9.315076103052949,1.6340927555167553,0.44375479887511765,42.06
Ondo,12.5231771406903,2.2751941071044244,0.5841718186885888,39.0
Osun,8.517628946762635,1.4292893276874097,0.4422180678153943,22.2
Oyo,9.833200873916367,1.8461715045059575,0.5216106318956323,34.42
Plateau,55.04918470474334,17.804765350325027,7.609698409104378,54.3
Rivers,23.91384223189817,5.458679230551574,1.7306040646444563,19.55
Sokoto,87.72834342073132,38.81732630449447,20.33597632106035,69.93
Taraba,87.72004994436375,42.378474955820806,24.437541344809013,63.35
Yobe,72.33807430736067,26.479106344031255,12.844115000247552,65.3
Zamfara,73.98209757566823,24.953968108471507,10.410265282612281,64.26
Federal Capital Territory,38.655584480975506,9.772883047833828,3.8038121396128095,
